A., Kodanda Rami Reddy	Athaku Yamudu Ammayiki Mogudu (1989)
A., Kodanda Rami Reddy	Khaidi (1983)
A., Kodanda Rami Reddy	Kondaveeti Donga (1990)
A., Kodanda Rami Reddy	Mutamestri (1993)
A., Kodanda Rami Reddy	Punya Bhoomi Naa Desam (1994)
A., Kodanda Rami Reddy	Tappu Chesi Pappu Koodu (2002)
A., Kodanda Rami Reddy	Vijetha (1985)
Aaltonen, Jouko	Kenen joukoissa seisot (2006)
Aaltonen, Veikko	Juoksuhaudantie (2004)
Aaltonen, Veikko	Rakkaudella, Maire (1999)
Aaltonen, Veikko	Tuhlaajapoika (1992)
Aarniokoski, Douglas	Rock Mafia Presents: The Big Bang (2010) (V)
Abbas, Khwaja Ahmad	Saat Hindustani (1969)
Abbinante, Darryl	M.O.G. (2006)
Abbinante, Darryl	M.O.G. Redux (2012)
Abbott, George (I)	Damn Yankees! (1958)
Abbott, George (I)	The Pajama Game (1957)
Abbott, George (I)	Too Many Girls (1940)
Abbott, Jennifer (I)	The Corporation (2003)
Abdalla, Ahmad (I)	Heliopolis (2009)
Abdalla, Ahmad (I)	Microphone (2010/II)
Abdel Mohsen, Ahmed (I)	Ard el ahlam (1993)
Abdel Mohsen, Ahmed (I)	Kit Kat (1991)
Abdel Mohsen, Ahmed (I)	Rassayel El Bahr (2010)
Abdel Wahab, Fatin	Al zouga talattashar (1962)
Abdel Wahab, Fatin	Ana wa hua wa hia (1964)
Abdel Wahab, Fatin	Ibn Hamidu (1957)
Abdel Wahab, Fatin	Ishayat hub (1961)
Abdilla, Jonathan	Napoleon: Life of an Outlaw (2010)
Abdolvahab, Mohsen	Gilane (2005)
Abdolvahab, Mohsen	Khoon bazi (2006)
Abdolvahab, Mohsen	Lotfan Mozahem Nashavid (2010)
Abdrashitov, Rustem	Podarok Stalinu (2008)
Abdrashitov, Vadim	Okhota na lis (1980)
Abdrashitov, Vadim	Ostanovilsya poyezd (1982)
Abdrashitov, Vadim	Parad planet (1986)
Abdrashitov, Vadim	Plyumbum, ili opasnaya igra (1987)
Abdrashitov, Vadim	Sluga (1989)
Abdrashitov, Vadim	Vremya tantsora (1998)
Abdullah, Zarina	Chermin (2007)
