The Shawshank Redemption 	1994	847203	9.2	0000000125	The Shawshank Redemption (1994)
The Dark Knight 	2008	827095	8.9	0000000124	The Dark Knight (2008)
Pulp Fiction 	1994	661657	8.9	0000000124	Pulp Fiction (1994)
Fight Club 	1999	647555	8.8	0000000124	Fight Club (1999)
Inception 	2010	645998	8.7	0000000124	Inception (2010)
The Lord of the Rings: The Fellowship of the Ring 	2001	623576	8.8	0000000124	The Lord of the Rings: The Fellowship of the Ring (2001)
The Matrix 	1999	619886	8.7	0000000123	The Matrix (1999)
The Godfather 	1972	619312	9.2	0000000125	The Godfather (1972)
The Lord of the Rings: The Return of the King 	2003	600060	8.8	0000000124	The Lord of the Rings: The Return of the King (2003)
Forrest Gump 	1994	549411	8.7	0000000123	Forrest Gump (1994)
The Lord of the Rings: The Two Towers 	2002	538033	8.7	0000000123	The Lord of the Rings: The Two Towers (2002)
Se7en 	1995	493662	8.6	0000000232	Se7en (1995)
Batman Begins 	2005	481131	8.3	0000001222	Batman Begins (2005)
Star Wars 	1977	478062	8.7	0000000123	Star Wars (1977)
Gladiator 	2000	477702	8.4	0000001223	Gladiator (2000)
American Beauty 	1999	454189	8.5	0000001222	American Beauty (1999)
Memento 	2000	452292	8.6	0000000232	Memento (2000)
Saving Private Ryan 	1998	438879	8.5	0000001223	Saving Private Ryan (1998)
The Departed 	2006	433711	8.4	0000001232	The Departed (2006)
The Silence of the Lambs 	1991	414175	8.6	0000000232	The Silence of the Lambs (1991)
Pirates of the Caribbean: The Curse of the Black Pearl 	2003	413911	8.0	0000001222	Pirates of the Caribbean: The Curse of the Black Pearl (2003)
The Dark Knight Rises 	2012	404492	8.6	0000000125	The Dark Knight Rises (2012)
V for Vendetta 	2005	401321	8.1	0000001222	V for Vendetta (2005)
The Usual Suspects 	1995	399357	8.6	0000000233	The Usual Suspects (1995)
The Godfather: Part II 	1974	395995	9.0	0000000124	The Godfather: Part II (1974)
American History X 	1998	391098	8.5	0000000232	American History X (1998)1
Terminator 2: Judgment Day 	1991	390881	8.5	0000001222	Terminator 2: Judgment Day (1991)
Braveheart 	1995	389654	8.3	0000001223	Braveheart (1995)
The Sixth Sense 	1999	386870	8.1	0000001221	The Sixth Sense (1999)
The Avengers 	2012	385901	8.2	0000001123	The Avengers (2012)
The Prestige 	2006	385621	8.4	0000001232	The Prestige (2006)
Sin City 	2005	385205	8.2	0000001222	Sin City (2005)
Kill Bill: Vol. 1 	2003	378338	8.1	0000001222	Kill Bill: Vol. 1 (2003)
Inglourious Basterds 	2009	375543	8.3	0000001222	Inglourious Basterds (2009)
Goodfellas 	1990	374766	8.7	0000000233	Goodfellas (1990)
Raiders of the Lost Ark 	1981	366778	8.6	0000001223	Raiders of the Lost Ark (1981)
Eternal Sunshine of the Spotless Mind 	2004	355662	8.4	0000001223	Eternal Sunshine of the Spotless Mind (2004)
300 	2006	355509	7.8	0000001212	300 (2006)
The Green Mile 	1999	350456	8.4	0000001222	The Green Mile (1999)
Back to the Future 	1985	343001	8.4	0000001222	Back to the Future (1985)
Reservoir Dogs 	1992	334213	8.4	0000001222	Reservoir Dogs (1992)
Slumdog Millionaire 	2008	333940	8.0	0000001222	Slumdog Millionaire (2008)
Donnie Darko 	2001	329630	8.1	0000001222	Donnie Darko (2001)
Shutter Island 	2010	322030	8.0	0000001321	Shutter Island (2010)
No Country for Old Men 	2007	321653	8.2	0000001222	No Country for Old Men (2007)
Finding Nemo 	2003	315026	8.1	0000001222	Finding Nemo (2003)
Die Hard 	1988	314488	8.3	0000001222	Die Hard (1988)
Snatch. 	2000	309966	8.3	0000001222	Snatch. (2000)
Requiem for a Dream 	2000	306831	8.4	0000000223	Requiem for a Dream (2000)
The Terminator 	1984	304945	8.1	0000001321	The Terminator (1984)
The Truman Show 	1998	302590	8.0	0000001321	The Truman Show (1998)
The Shining 	1980	300662	8.5	0000001222	The Shining (1980)
District 9 	2009	300315	8.0	0000001222	District 9 (2009)
The Hangover 	2009	295109	7.8	0000001222	The Hangover (2009)
Kill Bill: Vol. 2 	2004	294731	8.0	0000001222	Kill Bill: Vol. 2 (2004)
A Clockwork Orange 	1971	293082	8.4	0000001123	A Clockwork Orange (1971)
Alien 	1979	292412	8.5	0000001222	Alien (1979)
Toy Story 	1995	286493	8.2	0000001222	Toy Story (1995)
Black Swan 	2010	285420	8.1	0000001222	Black Swan (2010)
The Big Lebowski 	1998	281253	8.2	0000001222	The Big Lebowski (1998)
