Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,44.8770388848851,44.2721132547375,43.6825260049196,43.0901755117794,..
Afghanistan,AFG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,52.6442988256708,53.2079642015981,53.7632225246819,54.3248975483403,..
Afghanistan,AFG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.47866228944409,2.51992254366443,2.5542514703985,2.58492693988024,..
Afghanistan,AFG,"Population ages 0-14, total",SP.POP.0014.TO,15443806,15664859,15855184,16017646,..
Afghanistan,AFG,"Population ages 15-64, total",SP.POP.1564.TO,18116800,18826642,19514114,20193861,..
Afghanistan,AFG,"Population ages 65 and above, total",SP.POP.65UP.TO,852997,891627,927101,960879,..
Albania,ALB,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,18.6687276618372,18.383696445238,18.0283124879298,17.672873724304,..
Albania,ALB,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,68.7047247322534,68.660092473838,68.6426142157412,68.5823903647225,..
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,12.6265476059094,12.956211080924,13.329073296329,13.7447359109736,..
Albania,ALB,"Population ages 0-14, total",SP.POP.0014.TO,537791,528734,518036,506571,..
Albania,ALB,"Population ages 15-64, total",SP.POP.1564.TO,1979179,1974734,1972416,1965829,..
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,363733,372634,383005,393976,..
Algeria,DZA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,28.7075181814349,29.1344524005489,29.6395901838038,30.1486785862257,..
Algeria,DZA,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,65.4288452547037,64.8575664184352,64.1832049427207,63.4888248687945,..
Algeria,DZA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,5.86363656386141,6.00798118101593,6.17720487347554,6.36249654497986,..
Algeria,DZA,"Population ages 0-14, total",SP.POP.0014.TO,11404930,11814429,12267589,12731313,..
Algeria,DZA,"Population ages 15-64, total",SP.POP.1564.TO,25993588,26300654,26564914,26810333,..
